Date,ASIAN Open,ASIAN High,ASIAN Low,ASIAN Close,ASIAN Adj Close,ASIAN Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,Drop Down,,,,Date,Dmart High,ASIAN High
10/7/2021,3220,3318,3220,3290.850098,3205.176514,1177283,4260,4335.100098,4254.549805,4311,4311,41020,,,,,,,10/7/2021,4335.100098,3318
10/8/2021,3307,3329,3264.100098,3306.899902,3220.808105,882436,4334,4420,4300,4408.049805,4408.049805,18789,,,,,,,10/8/2021,4420,3329
10/11/2021,3326.399902,3344.350098,3297.75,3306.050049,3219.980469,460197,4435,4837,4422.600098,4719.399902,4719.399902,246478,,,,,,,10/11/2021,4837,3344.350098
10/12/2021,3280,3335,3280,3323.25,3236.732666,564524,4799,4892.200195,4719,4737.75,4737.75,47165,,,,,,,10/12/2021,4892.200195,3335
10/13/2021,3343,3358.899902,3291.399902,3323.5,3236.976318,770144,4755,5599.299805,4755,5122.549805,5122.549805,138983,,,,,,,10/13/2021,5599.299805,3358.899902
10/14/2021,3342,3352.949951,3290,3297.800049,3211.945313,648597,5187,5420,5179.899902,5329.649902,5329.649902,110885,,,,,,,10/14/2021,5420,3352.949951
10/18/2021,3252.5,3283.949951,3232,3241.5,3157.111084,1576121,5640,5899.899902,4850.100098,4894.899902,4894.899902,338841,,,,,,,10/18/2021,5899.899902,3283.949951
10/19/2021,3260.899902,3269.100098,3176.100098,3183.75,3100.864014,1042069,5002,5106.049805,4727,4755.549805,4755.549805,101318,,,,,,,10/19/2021,5106.049805,3269.100098
10/20/2021,3190,3219.949951,3136.649902,3169.600098,3087.083008,1205540,4785,4859.950195,4471,4610.450195,4610.450195,357300,,,,,,,10/20/2021,4859.950195,3219.949951
10/21/2021,3194,3195.449951,2920.449951,3002,2923.845947,5103543,4620,4700,4500,4514.399902,4514.399902,90467,,,,,,,10/21/2021,4700,3195.449951
10/22/2021,2975,3002.949951,2912.149902,2982.399902,2904.756104,2855592,4545.299805,4560.700195,4482,4521.549805,4521.549805,36175,,,,,,,10/22/2021,4560.700195,3002.949951
10/25/2021,2950,2950,2857.25,2918.050049,2842.081787,2161537,4550,4571.5,4350,4398.649902,4398.649902,68805,,,,,,,10/25/2021,4571.5,2950
10/26/2021,2918.050049,3024,2898,2969.800049,2892.484619,1988263,4402,4600,4364.850098,4569,4569,45982,,,,,,,10/26/2021,4600,3024
10/27/2021,3029.199951,3145,3029.199951,3094.649902,3014.083984,4609951,4620,4771.799805,4600,4731.600098,4731.600098,64256,,,,,,,10/27/2021,4771.799805,3145
10/28/2021,3103,3147.600098,3062,3116.300049,3038.754639,1791065,4748.950195,4779.850098,4621,4677.149902,4677.149902,20689,,,,,,,10/28/2021,4779.850098,3147.600098
